recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Moderately,Moderately,A lot,3eb4344c0b65,txt,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,Doctorate,42,,,,1679528240548.0,1679530773939.0,42.22318333333333,2,8,Emily,27,"In the Super Bowl in 2023, the players were complaining about the turf they played on.",0
Moderately,Moderately,A lot,3eb4344c0b65,txt,population,two,Moderately,Moderately,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,Doctorate,42,,,,1679528240548.0,1679530773939.0,42.22318333333333,2,8,Emily,27,"In the Super Bowl in 2023, the players were complaining about the turf they played on.",0
A lot,A lot,Moderately,3eb4344c0b65,txt,opioids,two,Moderately,Moderately,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,Doctorate,42,,,,1679528240548.0,1679530773939.0,42.22318333333333,2,8,Emily,27,"In the Super Bowl in 2023, the players were complaining about the turf they played on.",0
A lot,A lot,Extremely,3a259e288c42,txt,drugOverdose,two,Moderately,A little,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,High School,28,,,,1679528268344.0,1679529970425.0,28.368016666666666,First,8,Emily,27,The turf used for the super bowl was of terrible quality and cause players to slip and be slowed down.,0
A lot,Moderately,Extremely,3a259e288c42,txt,population,two,Moderately,A little,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,High School,28,,,,1679528268344.0,1679529970425.0,28.368016666666666,First,8,Emily,27,The turf used for the super bowl was of terrible quality and cause players to slip and be slowed down.,0
A lot,A lot,Extremely,3a259e288c42,txt,opioids,two,Moderately,A little,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,High School,28,,,,1679528268344.0,1679529970425.0,28.368016666666666,First,8,Emily,27,The turf used for the super bowl was of terrible quality and cause players to slip and be slowed down.,0
Moderately,Not at All,Moderately,386d7e395dd8,txt,drugOverdose,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Prefer not to say,Prefer not to say,Prefer not to say,37,,,,1679528396149.0,1679529125882.0,12.162216666666666,Second,8,Emily,27,The Eagles complained about the conditions of the field in the 2023 SuperBowl.,0
A little,Not at All,Moderately,386d7e395dd8,txt,population,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Prefer not to say,Prefer not to say,Prefer not to say,37,,,,1679528396149.0,1679529125882.0,12.162216666666666,Second,8,Emily,27,The Eagles complained about the conditions of the field in the 2023 SuperBowl.,0
A little,Not at All,Moderately,386d7e395dd8,txt,opioids,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Prefer not to say,Prefer not to say,Prefer not to say,37,,,,1679528396149.0,1679529125882.0,12.162216666666666,Second,8,Emily,27,The Eagles complained about the conditions of the field in the 2023 SuperBowl.,0
A little,A little,A little,8ce92a31ee35,txt,drugOverdose,two,A lot,A lot,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,Moderate Priority,Somewhat Oppose,Woman,White/Caucasian/European,Masters,63,,,,1679528401862.0,1679529155006.0,12.5524,First,Seven,June,Nine ,Fake turf affects both teams but do not want to use it as an excuse whey they win or lose.,0
A little,A little,A little,8ce92a31ee35,txt,population,two,A lot,A lot,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,Moderate Priority,Somewhat Oppose,Woman,White/Caucasian/European,Masters,63,,,,1679528401862.0,1679529155006.0,12.5524,First,Seven,June,Nine ,Fake turf affects both teams but do not want to use it as an excuse whey they win or lose.,0
A little,A little,A little,8ce92a31ee35,txt,opioids,two,A lot,A lot,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,Moderate Priority,Somewhat Oppose,Woman,White/Caucasian/European,Masters,63,,,,1679528401862.0,1679529155006.0,12.5524,First,Seven,June,Nine ,Fake turf affects both teams but do not want to use it as an excuse whey they win or lose.,0
Extremely,Extremely,Extremely,94f9df066216,txt,drugOverdose,two,A lot,Moderately,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,Hispanic/Latino,Undergraduate,26,,,,1679528520869.0,1679530865749.0,39.08133333333333,first,8,Emily,27,The turf that was played on in the super bowl was a major issue for players and it cause them to become slowed down.,0
Extremely,Extremely,Extremely,94f9df066216,txt,population,two,A lot,Moderately,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,Hispanic/Latino,Undergraduate,26,,,,1679528520869.0,1679530865749.0,39.08133333333333,first,8,Emily,27,The turf that was played on in the super bowl was a major issue for players and it cause them to become slowed down.,0
Extremely,Extremely,Extremely,94f9df066216,txt,opioids,two,A lot,Moderately,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,Hispanic/Latino,Undergraduate,26,,,,1679528520869.0,1679530865749.0,39.08133333333333,first,8,Emily,27,The turf that was played on in the super bowl was a major issue for players and it cause them to become slowed down.,0
A lot,Moderately,Extremely,2a6f157e09a3,visual,drugOverdose,two,A little,A little,Moderately,Moderately,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,26,,,,1679528567188.0,1679529556077.0,16.481483333333333,first,8,Emily,27',"Field conditions heavily affected the performance of NFL teams ""The Eagles"" and ""Chiefs"" at the 2023 Super Bowl.",0
Moderately,Moderately,Extremely,2a6f157e09a3,visual,population,two,A little,A little,Moderately,Moderately,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,26,,,,1679528567188.0,1679529556077.0,16.481483333333333,first,8,Emily,27',"Field conditions heavily affected the performance of NFL teams ""The Eagles"" and ""Chiefs"" at the 2023 Super Bowl.",0
A lot,A lot,Extremely,2a6f157e09a3,visual,opioids,two,A little,A little,Moderately,Moderately,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,26,,,,1679528567188.0,1679529556077.0,16.481483333333333,first,8,Emily,27',"Field conditions heavily affected the performance of NFL teams ""The Eagles"" and ""Chiefs"" at the 2023 Super Bowl.",0
A lot,Moderately,Extremely,1c09c5d9c706,control,drugOverdose,two,Moderately,A little,Moderately,Moderately,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,41,,,,1679528589357.0,1679529297276.0,11.79865,second,8,Emily,0,The eagles were explaining that the field conditions during the 2023 Super Bowl were poor and made it harder to play.,0
A lot,A little,A lot,1c09c5d9c706,control,population,two,Moderately,A little,Moderately,Moderately,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,41,,,,1679528589357.0,1679529297276.0,11.79865,second,8,Emily,0,The eagles were explaining that the field conditions during the 2023 Super Bowl were poor and made it harder to play.,0
A lot,A lot,Extremely,1c09c5d9c706,control,opioids,two,Moderately,A little,Moderately,Moderately,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,41,,,,1679528589357.0,1679529297276.0,11.79865,second,8,Emily,0,The eagles were explaining that the field conditions during the 2023 Super Bowl were poor and made it harder to play.,0
A lot,A little,A lot,cd58e1034b8c,txt,population,two,A lot,A lot,A lot,A lot,Extremely serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,41,,,,1679528591486.0,1679530214801.0,27.05525,second,8,Emily,27,The field conditions of the most recent super bowl were less than ideal.  It was very hard for defensive linemen to get to the quarterback.,0
Extremely,Moderately,Extremely,cd58e1034b8c,txt,opioids,two,A lot,A lot,A lot,A lot,Extremely serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,41,,,,1679528591486.0,1679530214801.0,27.05525,second,8,Emily,27,The field conditions of the most recent super bowl were less than ideal.  It was very hard for defensive linemen to get to the quarterback.,0
Moderately,A little,Moderately,cd0e749b6bc4,visual,drugOverdose,two,Moderately,Moderately,A little,A little,Serious problem,Neutral,Strongly Favor,serious problem,Neutral,Strongly Favor,Man,Hispanic/Latino,Undergraduate,47,,,,1679528677523.0,1679529586422.0,15.148316666666666,2nd,8,Emily,0,the author thinks that the field condition affected the outcome of the Super Bowl.,0
Moderately,Moderately,Moderately,cd0e749b6bc4,visual,population,two,Moderately,Moderately,A little,A little,Serious problem,Neutral,Strongly Favor,serious problem,Neutral,Strongly Favor,Man,Hispanic/Latino,Undergraduate,47,,,,1679528677523.0,1679529586422.0,15.148316666666666,2nd,8,Emily,0,the author thinks that the field condition affected the outcome of the Super Bowl.,0
Moderately,Extremely,Extremely,cd0e749b6bc4,visual,opioids,two,Moderately,Moderately,A little,A little,Serious problem,Neutral,Strongly Favor,serious problem,Neutral,Strongly Favor,Man,Hispanic/Latino,Undergraduate,47,,,,1679528677523.0,1679529586422.0,15.148316666666666,2nd,8,Emily,0,the author thinks that the field condition affected the outcome of the Super Bowl.,0
A lot,A little,Extremely,ccb320db374b,control,drugOverdose,two,Moderately,A lot,A lot,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,Masters,35,,,,1679528747289.0,1679529125792.0,6.3083833333333335,First,seven,Emily,27,The field conditions for the super bowl were awful and they slowed down the pass rushers a bit.,0
A little,A little,Moderately,ccb320db374b,control,population,two,Moderately,A lot,A lot,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,Masters,35,,,,1679528747289.0,1679529125792.0,6.3083833333333335,First,seven,Emily,27,The field conditions for the super bowl were awful and they slowed down the pass rushers a bit.,0
A lot,A lot,A lot,ccb320db374b,control,opioids,two,Moderately,A lot,A lot,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,Masters,35,,,,1679528747289.0,1679529125792.0,6.3083833333333335,First,seven,Emily,27,The field conditions for the super bowl were awful and they slowed down the pass rushers a bit.,0
Moderately,A little,A lot,18e7b267784c,txt,drugOverdose,two,A little,A little,Moderately,Moderately,Serious problem,Neutral,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Prefer not to say,Prefer not to say,Prefer not to say,40,,,,1679528809296.0,1679530234903.0,23.760116666666665,First,7,June,27,The turf for the field used for the Super Bowl in 2023 was less than adequate for the game according to Eagles' player Reddick.,0
A little,Not at All,A little,18e7b267784c,txt,population,two,A little,A little,Moderately,Moderately,Serious problem,Neutral,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Prefer not to say,Prefer not to say,Prefer not to say,40,,,,1679528809296.0,1679530234903.0,23.760116666666665,First,7,June,27,The turf for the field used for the Super Bowl in 2023 was less than adequate for the game according to Eagles' player Reddick.,0
Moderately,Moderately,Moderately,18e7b267784c,txt,opioids,two,A little,A little,Moderately,Moderately,Serious problem,Neutral,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Prefer not to say,Prefer not to say,Prefer not to say,40,,,,1679528809296.0,1679530234903.0,23.760116666666665,First,7,June,27,The turf for the field used for the Super Bowl in 2023 was less than adequate for the game according to Eagles' player Reddick.,0
Moderately,A lot,A lot,f494a05c0435,txt,drugOverdose,two,A lot,Extremely,Moderately,Moderately,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,25,,,,1679528866044.0,1679529403932.0,8.9648,first,8,Emily,27,"It talks about how the field at the super bowl was hard to play on for both teams, and since it was poorly done, it affected the outcome.",0
A lot,Extremely,A lot,f494a05c0435,txt,population,two,A lot,Extremely,Moderately,Moderately,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,25,,,,1679528866044.0,1679529403932.0,8.9648,first,8,Emily,27,"It talks about how the field at the super bowl was hard to play on for both teams, and since it was poorly done, it affected the outcome.",0
A little,A lot,A little,f494a05c0435,txt,opioids,two,A lot,Extremely,Moderately,Moderately,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,25,,,,1679528866044.0,1679529403932.0,8.9648,first,8,Emily,27,"It talks about how the field at the super bowl was hard to play on for both teams, and since it was poorly done, it affected the outcome.",0
A lot,Not at All,A lot,266cef53ba27,control,drugOverdose,two,A lot,Moderately,A lot,A lot,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,29,,,,1679529004254.0,1679529374068.0,6.163566666666667,Second,8,Emily,0,The field conditions during the Super Bowl were poor and many players from the Eagles complained.,0
A lot,A little,A lot,266cef53ba27,control,population,two,A lot,Moderately,A lot,A lot,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,29,,,,1679529004254.0,1679529374068.0,6.163566666666667,Second,8,Emily,0,The field conditions during the Super Bowl were poor and many players from the Eagles complained.,0
Extremely,A little,Extremely,266cef53ba27,control,opioids,two,A lot,Moderately,A lot,A lot,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,29,,,,1679529004254.0,1679529374068.0,6.163566666666667,Second,8,Emily,0,The field conditions during the Super Bowl were poor and many players from the Eagles complained.,0
A lot,Extremely,A lot,8277d8e4d159,visual,drugOverdose,two,A little,A lot,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,21,,,,1679529028121.0,1679529533334.0,8.420216666666667,second,8,Emily,0,Playing on turf at the Superbowl had an affect on the game. It resulted in less sacks and frustrated the players as players were slipping.,0
A lot,Extremely,Moderately,8277d8e4d159,visual,population,two,A little,A lot,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,21,,,,1679529028121.0,1679529533334.0,8.420216666666667,second,8,Emily,0,Playing on turf at the Superbowl had an affect on the game. It resulted in less sacks and frustrated the players as players were slipping.,0
A lot,Extremely,A lot,8277d8e4d159,visual,opioids,two,A little,A lot,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,21,,,,1679529028121.0,1679529533334.0,8.420216666666667,second,8,Emily,0,Playing on turf at the Superbowl had an affect on the game. It resulted in less sacks and frustrated the players as players were slipping.,0
A little,Moderately,Moderately,25888e1e7788,control,population,two,A little,A little,Not at All,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,18,,,,1679529458484.0,1679530355377.0,14.948216666666667,Second ,8,Emily,27,"Players from the Philadelphia Eagles complained about the poor conditions of the turf during the 2023 Superbowl, which resulted in performance complications for all players.",0
Moderately,A lot,A lot,25888e1e7788,control,opioids,two,A little,A little,Not at All,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,18,,,,1679529458484.0,1679530355377.0,14.948216666666667,Second ,8,Emily,27,"Players from the Philadelphia Eagles complained about the poor conditions of the turf during the 2023 Superbowl, which resulted in performance complications for all players.",0
Extremely,Extremely,Extremely,8d970a302e95,txt,drugOverdose,two,A lot,A lot,Moderately,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,Hispanic/Latino,High School,45,,,,1679529461732.0,1679530813410.0,22.527966666666668,second,7,june,11,The eagle think that the field had something to do with them losing,0
Extremely,Extremely,Extremely,8d970a302e95,txt,population,two,A lot,A lot,Moderately,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,Hispanic/Latino,High School,45,,,,1679529461732.0,1679530813410.0,22.527966666666668,second,7,june,11,The eagle think that the field had something to do with them losing,0
Extremely,Extremely,Extremely,8d970a302e95,txt,opioids,two,A lot,A lot,Moderately,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,Hispanic/Latino,High School,45,,,,1679529461732.0,1679530813410.0,22.527966666666668,second,7,june,11,The eagle think that the field had something to do with them losing,0
A little,Moderately,Moderately,71b12621a3db,control,drugOverdose,two,A little,A little,Not at All,A little,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,African American/Black,Undergraduate,42,,,,1679529462289.0,1679530273769.0,13.524666666666668,First,8,Emily,27,"The turf for the Super Bowl was sub-par, potentially impacting the players and their ability to perform.",0
A little,Not at All,A little,71b12621a3db,control,population,two,A little,A little,Not at All,A little,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,African American/Black,Undergraduate,42,,,,1679529462289.0,1679530273769.0,13.524666666666668,First,8,Emily,27,"The turf for the Super Bowl was sub-par, potentially impacting the players and their ability to perform.",0
A little,Moderately,Moderately,71b12621a3db,control,opioids,two,A little,A little,Not at All,A little,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,African American/Black,Undergraduate,42,,,,1679529462289.0,1679530273769.0,13.524666666666668,First,8,Emily,27,"The turf for the Super Bowl was sub-par, potentially impacting the players and their ability to perform.",0
A little,Not at All,Not at All,aecfc9939b37,control,drugOverdose,two,Not at All,Not at All,Not at All,Not at All,Minor Problem,Not a Priority,Somewhat Favor,serious problem,Not a Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,33,,,,1679529465327.0,1679530067723.0,10.039933333333334,second,8,Emily,27,Players said the turf of the 2023 Super Bowl was the worst turf ever played on for a Super Bowl.,0
Not at All,Not at All,Not at All,aecfc9939b37,control,population,two,Not at All,Not at All,Not at All,Not at All,Minor Problem,Not a Priority,Somewhat Favor,serious problem,Not a Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,33,,,,1679529465327.0,1679530067723.0,10.039933333333334,second,8,Emily,27,Players said the turf of the 2023 Super Bowl was the worst turf ever played on for a Super Bowl.,0
Not at All,A little,Not at All,aecfc9939b37,control,opioids,two,Not at All,Not at All,Not at All,Not at All,Minor Problem,Not a Priority,Somewhat Favor,serious problem,Not a Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,33,,,,1679529465327.0,1679530067723.0,10.039933333333334,second,8,Emily,27,Players said the turf of the 2023 Super Bowl was the worst turf ever played on for a Super Bowl.,0
Moderately,A lot,Extremely,17eebd9d534d,txt,drugOverdose,two,Not at All,Moderately,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Neutral,Man,White/Caucasian/European,Undergraduate,41,,,,1679529465889.0,1679530186553.0,12.011066666666666,First,7,Emily,27,The eagles think that the turf conditions during the superbowl contributed to their lost to the Cheifs.,0
A lot,Moderately,Extremely,17eebd9d534d,txt,population,two,Not at All,Moderately,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Neutral,Man,White/Caucasian/European,Undergraduate,41,,,,1679529465889.0,1679530186553.0,12.011066666666666,First,7,Emily,27,The eagles think that the turf conditions during the superbowl contributed to their lost to the Cheifs.,0
Moderately,Moderately,A lot,17eebd9d534d,txt,opioids,two,Not at All,Moderately,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Neutral,Man,White/Caucasian/European,Undergraduate,41,,,,1679529465889.0,1679530186553.0,12.011066666666666,First,7,Emily,27,The eagles think that the turf conditions during the superbowl contributed to their lost to the Cheifs.,0
A little,Moderately,A little,a1bedb10908e,control,drugOverdose,two,Moderately,A lot,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,23,,,,1679529468796.0,1679529960287.0,8.191516666666667,second,8,Emily,0,The turf used in the Super Bowl was poor quality and negatively impacted the game,0
A little,A little,A little,a1bedb10908e,control,population,two,Moderately,A lot,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,23,,,,1679529468796.0,1679529960287.0,8.191516666666667,second,8,Emily,0,The turf used in the Super Bowl was poor quality and negatively impacted the game,0
A little,A lot,Moderately,a1bedb10908e,control,opioids,two,Moderately,A lot,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,23,,,,1679529468796.0,1679529960287.0,8.191516666666667,second,8,Emily,0,The turf used in the Super Bowl was poor quality and negatively impacted the game,0
A lot,A lot,A lot,8f246cd1e38f,visual,drugOverdose,two,A lot,A lot,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,49,,,,1679529469995.0,1679530266690.0,13.27825,first,8,June,27,The field conditions for the football game were less thatn ideal.,0
A lot,A lot,A lot,8f246cd1e38f,visual,population,two,A lot,A lot,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,49,,,,1679529469995.0,1679530266690.0,13.27825,first,8,June,27,The field conditions for the football game were less thatn ideal.,0
A lot,A lot,A lot,8f246cd1e38f,visual,opioids,two,A lot,A lot,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,49,,,,1679529469995.0,1679530266690.0,13.27825,first,8,June,27,The field conditions for the football game were less thatn ideal.,0
Moderately,A little,A lot,f3e0f998fc4d,control,drugOverdose,two,Not at All,Not at All,A little,Moderately,Extremely serious problem,Neutral,Somewhat Favor,Extremely serious problem,Neutral,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,31,,,,1679529476425.0,1679530834328.0,22.631716666666662,second,8,Emily,27,Poor turf was issue for players in Super Bowl 2023 but didn't decide the game.,0
Moderately,A little,A lot,f3e0f998fc4d,control,population,two,Not at All,Not at All,A little,Moderately,Extremely serious problem,Neutral,Somewhat Favor,Extremely serious problem,Neutral,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,31,,,,1679529476425.0,1679530834328.0,22.631716666666662,second,8,Emily,27,Poor turf was issue for players in Super Bowl 2023 but didn't decide the game.,0
Moderately,Moderately,A lot,f3e0f998fc4d,control,opioids,two,Not at All,Not at All,A little,Moderately,Extremely serious problem,Neutral,Somewhat Favor,Extremely serious problem,Neutral,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,31,,,,1679529476425.0,1679530834328.0,22.631716666666662,second,8,Emily,27,Poor turf was issue for players in Super Bowl 2023 but didn't decide the game.,0
Extremely,Moderately,Extremely,ccad26af0ff4,txt,drugOverdose,two,Moderately,Moderately,A lot,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,High School,36,,,,1679529477236.0,1679531092466.0,26.9205,first,8,June,27,"The Eagles were frustrated with the condition of the field during the Super Bowl, and while they admit the Chiefs deserved to win, they made a case of having 70 sacks throughout the regular season and none on the Arizona field.",0
Extremely,Moderately,Extremely,ccad26af0ff4,txt,population,two,Moderately,Moderately,A lot,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,High School,36,,,,1679529477236.0,1679531092466.0,26.9205,first,8,June,27,"The Eagles were frustrated with the condition of the field during the Super Bowl, and while they admit the Chiefs deserved to win, they made a case of having 70 sacks throughout the regular season and none on the Arizona field.",0
Extremely,Moderately,Extremely,ccad26af0ff4,txt,opioids,two,Moderately,Moderately,A lot,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,High School,36,,,,1679529477236.0,1679531092466.0,26.9205,first,8,June,27,"The Eagles were frustrated with the condition of the field during the Super Bowl, and while they admit the Chiefs deserved to win, they made a case of having 70 sacks throughout the regular season and none on the Arizona field.",0
A little,Extremely,Extremely,2ac641403a34,control,drugOverdose,two,Moderately,A little,A little,A lot,Extremely serious problem,Neutral,Neutral,Extremely serious problem,Neutral,Neutral,Woman,Hispanic/Latino,High School,38,,,,1679529485736.0,1679530329097.0,14.056016666666666,2nd ,15,Emily,3,Eagles lost to the Chiefs and were playing in poor conditions.,0
A little,Extremely,Extremely,2ac641403a34,control,population,two,Moderately,A little,A little,A lot,Extremely serious problem,Neutral,Neutral,Extremely serious problem,Neutral,Neutral,Woman,Hispanic/Latino,High School,38,,,,1679529485736.0,1679530329097.0,14.056016666666666,2nd ,15,Emily,3,Eagles lost to the Chiefs and were playing in poor conditions.,0
A little,Extremely,Extremely,2ac641403a34,control,opioids,two,Moderately,A little,A little,A lot,Extremely serious problem,Neutral,Neutral,Extremely serious problem,Neutral,Neutral,Woman,Hispanic/Latino,High School,38,,,,1679529485736.0,1679530329097.0,14.056016666666666,2nd ,15,Emily,3,Eagles lost to the Chiefs and were playing in poor conditions.,0
Moderately,A little,Not at All,4755941c42c5,visual,drugOverdose,two,Not at All,Not at All,A little,A little,Moderate problem,Neutral,Strongly Favor,Moderate problem,Neutral,Strongly Favor,Man,Hispanic/Latino,High School,33,,,,1679529511818.0,1679530235233.0,12.056916666666666,2,8,Emily,0,The poor conditions of the field affected the performance of the two football teams.,0
Moderately,A little,Not at All,4755941c42c5,visual,population,two,Not at All,Not at All,A little,A little,Moderate problem,Neutral,Strongly Favor,Moderate problem,Neutral,Strongly Favor,Man,Hispanic/Latino,High School,33,,,,1679529511818.0,1679530235233.0,12.056916666666666,2,8,Emily,0,The poor conditions of the field affected the performance of the two football teams.,0
Moderately,Moderately,A little,4755941c42c5,visual,opioids,two,Not at All,Not at All,A little,A little,Moderate problem,Neutral,Strongly Favor,Moderate problem,Neutral,Strongly Favor,Man,Hispanic/Latino,High School,33,,,,1679529511818.0,1679530235233.0,12.056916666666666,2,8,Emily,0,The poor conditions of the field affected the performance of the two football teams.,0
